"Abbreviation","Species","Relative_frequency","p05_mat","p50_mat","p95_mat","iqr_mat","p05_mwmt","p50_mwmt","p95_mwmt","iqr_mwmt","p05_mcmt","p50_mcmt","p95_mcmt","iqr_mcmt","p05_td","p50_td","p95_td","iqr_td","p05_map","p50_map","p95_map","iqr_map","p05_msp","p50_msp","p95_msp","iqr_msp","p05_ahm","p50_ahm","p95_ahm","iqr_ahm","p05_shm","p50_shm","p95_shm","iqr_shm","p05_ffp","p50_ffp","p95_ffp","iqr_ffp","p05_pas","p50_pas","p95_pas","iqr_pas","p05_emt","p50_emt","p95_emt","iqr_emt","p05_ext","p50_ext","p95_ext","iqr_ext","p05_eref","p50_eref","p95_eref","iqr_eref","p05_cmd","p50_cmd","p95_cmd","iqr_cmd","p05_rh","p50_rh","p95_rh","iqr_rh","p05_rh_sm","p50_rh_sm","p95_rh_sm","iqr_rh_sm","p05_hi","p50_hi","p95_hi","iqr_hi"
"Colnig","Collema_nigrescens",0.01,2.53,11,20.8,9.07,15.15,19.95,27.83,5.45,-14.9,3.33,12.85,14.85,7.25,19.2,33.47,12.23,458.65,1102.25,1994,546.25,22.83,452.5,747.25,361,10.57,18.4,53.39,10.65,30.62,45.75,934.17,99.45,108,177.83,347,117.5,0,49.25,373.38,172.38,-42,-22.15,-4.45,21.2,32.6,37.85,43.42,4.32,546,960.5,1464,522.7,33.75,230.25,852.96,461.25,55,61,71,7,40.5,61.25,74,12.69,14.57,19.51,30.31,5.95
"Colocc","Rostania_occultata",0,2.78,11.4,18.7,9.3,17.08,19.9,27.18,5.4,-13.22,2.9,12.72,12.7,12.34,17.9,31.18,10.1,288.2,803,1241.6,683,81.4,346,512.2,211,12.92,23.6,88,39.4,38.7,61.5,375.46,56.9,120.2,179,310.4,79,0,27,370,297,-39.6,-24,-7.28,14.5,32.86,37.5,45.06,5.9,550.6,1036,1658,652,78.2,359,1394.8,865,48.8,58,65,9,47.8,59,65.2,9,16.42,19.51,28.54,5.6
"Colsub","Collema_subflaccidum",0.01,2.59,8,18.91,8.62,15.19,20.25,27.8,6.4,-14.61,-4.15,9.81,12.66,16.7,24.76,33.12,7.68,490.3,1088.25,1559,447.25,212.98,484,670.3,119.56,12.2,18.7,39.74,5.8,31.88,42.49,104.2,9.9,101.9,146.5,277.15,66,1,94,363.2,191.12,-41.81,-30.75,-14.46,12.62,32,37.17,42.2,4.61,520.95,830,1421,517.03,22.95,146.25,649,147.25,52.95,61,69,5,38.9,62,71.05,7,14.15,19.79,29.98,7.04
"Dirapp","Dirinaria_applanata",0,18.4,20.3,24.7,2.25,27.3,28.05,30.46,1.3,8.34,11.4,18.5,3,10.04,16.9,20.12,2.9,355.6,1302,1608.8,621.33,241.6,656,856.8,354,18.63,23.5,99.58,15.29,32.56,42.97,130.36,34.3,243.8,300,353.4,24,0,0,1,0,-17.46,-11.5,4.18,5.2,38.62,40.3,46.08,3.7,1209.2,1437,1808.8,172,57.2,278,1480.8,510,54.2,64,73.8,6,56.6,68,77.53,7.5,29.06,31,35.36,2.35
"Dircon","Dirinaria_confusa",0,17.15,19.94,24.26,1.8,26.17,27.85,30.15,0.8,7.38,10.79,18.57,3.65,10.43,17.06,19.33,3.3,404,1372.25,1603.75,489.22,301,644.12,824.3,237.67,18.53,22.15,82.05,9.62,34,43.28,104.32,15.85,250.75,298.03,347.75,41.38,0,0,1.25,0.81,-17.22,-11.85,2.38,7.75,38.06,40.2,45.7,2.24,1145.5,1432.17,1868.5,206,56.15,259,1501,312.62,52.75,64,73.62,7,57.75,68,77.75,9,27.31,30.34,34.68,2.04
"Dirpic","Dirinaria_picta",0,17.2,20.2,23.73,2.52,24.84,27.8,29.59,0.8,7.55,11.4,19,3.8,9.48,16.9,19.3,4.61,234.8,1312.5,1632.9,495.62,151,645,947.9,313.64,18.39,23.4,119.22,11.57,29.87,42.6,184.41,26.34,244.1,299,348.8,41.11,0,0,1,0,-17.43,-11.65,7.68,7.75,37.87,40.2,45.63,2.8,1252.5,1462,1753.7,163.75,62.2,316.5,1387.1,371.75,56,63,72,6.12,59,68,76,7,25,30.38,34.36,2.21
"Dscint","Dendriscocaulon_intricatulum",0,2.97,6.6,15.3,6.8,12.46,16.5,25.55,7.27,-14.18,-0.2,5.2,7.6,11.64,18.77,32.87,5.21,713,1625,3616.4,1541,131.05,486,1221.3,272.75,4.16,10.8,25.87,11.3,10.04,39,160.17,23.26,98.15,151,215.1,56.08,3,240,829.4,284,-41.61,-26.2,-17.52,12.05,28.79,35.2,41.21,7.42,371.9,665,1247.6,508,0,124,541.6,222.5,55.9,65,80.1,15.5,39.3,60.8,79.2,16.83,11.1,15.83,25.74,7.1
"Erisor","Erioderma_sorediatum",0,4.4,7.4,12.83,2.65,12.18,14.53,17.43,1.28,-2.12,1.05,9.39,4.41,6.63,12.75,17.21,3.35,1133.05,2491.25,3942.95,1216.75,178.22,777.5,1469.6,559.88,4.26,6.5,29.9,5.68,10.54,18.2,113.24,21.54,126.9,178.5,278.45,76.25,12.4,184.5,809.45,276.25,-28.62,-20.6,-11.01,10.49,28.33,30.85,35.97,1.84,373.2,469.5,1138.5,254.29,0,0,599.3,181.39,58.2,77.5,80.68,6.5,55.3,75,80.68,7,11.45,14.06,16.67,1.28
"Essida","Esslingeriana_idahoensis",0.04,3.28,7.36,12.09,3.81,14.77,18.27,22.4,3.09,-6.95,-2.05,5.07,5.74,14.2,20.64,22.75,3.78,458.32,926.3,1933.78,807,90.95,224,374.88,138.58,9.59,18,38.01,12.41,38.81,84.7,235.61,68.34,83.95,138,217.05,53.31,22.48,157.25,508.17,213.88,-37.52,-28,-14.8,10.61,33.36,37.58,41.17,3.31,567.77,793.5,1092.15,210.5,141.5,385.5,632.2,220.62,54.48,61,66.73,4,33.95,44.5,59,9.21,13.28,17.36,21.71,3.38
"Evediv","Evernia_divaricata",0,-4.8,2.77,17.25,7.72,9.45,13.35,26.35,6.02,-17.8,-6.37,8.12,7.86,15.91,20.8,30.9,3.55,297,823,1484.5,306.62,79.5,319.57,663.5,147.6,4.9,15.88,55.85,11.15,22.27,41.2,283.5,23.41,35.79,84,251.67,90.25,1,273,824,404.75,-47.1,-40.1,-15.83,11.55,25.9,31.5,41.95,4.95,267,652,1333.5,385.08,13.67,224.67,807,204,47.09,56,68,9.5,25,45.58,71,22.53,7.71,11.98,27.62,6.57
"Evemes","Evernia_mesomorpha",0.09,-6.46,4.2,8.32,5.41,13.07,18.4,21.8,3.67,-26.27,-10.98,-4.33,10.06,24.04,29.84,41.26,7.52,291.75,801,1260.56,474.62,173.35,428.5,568.9,152.73,7.88,16.64,29.85,7.31,30.92,42.61,83.36,13.53,76,121,149.65,31,68.15,167.75,379.32,147.62,-51.01,-38.6,-30.7,9.97,28.77,35.5,39.2,3.31,283.7,631.7,827,203.33,18.18,122.42,292.07,81.54,54,61,69,6.21,52.31,62,70.82,7.25,12.07,17.91,21.64,3.94
"Evepru","Evernia_prunastri",0.13,4.17,9.95,16.4,5.97,14.87,19.1,25.02,3.54,-10.06,2,11.55,10.23,8.04,17.98,27.95,7.51,374.1,899,2313.7,574.5,20,190.45,525.6,275.06,8.2,20.3,67.47,17.5,34.17,96.2,1027.86,230.9,104.7,169,346.11,106.38,1,57.5,377.7,184.2,-37.53,-21,-4.73,16.2,32.5,37.6,43.63,4.3,573.87,819.5,1293.51,374,69.85,395,955.3,494.43,53.5,62.25,73.3,9,34.7,55,73,18,13.78,18.49,24.89,3.86
"Evscat","Hypotrachyna_catawbiensis",0,3.8,6.3,9.7,0.49,16.9,17.82,19.78,0.84,-10.82,-6.7,-0.4,0.86,19.84,24.51,28.09,1.39,1198.9,1280,1599.47,85,455.85,502.75,617.4,89.75,10.6,12.3,13.64,1.25,28.57,35.4,40.94,4.04,112.58,137.5,160.77,7.62,94.1,300.75,417.02,77.5,-37.48,-32.44,-27.21,1.26,33.43,33.85,35.02,0.51,596.46,619.75,914.05,33.62,7.65,45.5,104.7,31.75,58.8,66.25,68.34,4.62,59.9,66.75,69.8,6,16.33,17.41,19.38,0.8
"Flabal","Flavoparmelia_baltimorensis",0,5.2,12.32,17.37,6.22,19.18,23.02,27.47,4.63,-10.84,0.4,8.9,8.35,16.86,24.1,32.6,4.76,480.78,1092.75,1480.95,403.25,252.99,516.83,611.7,93.69,15.09,20.33,46.2,5.95,35.47,45.95,87.42,9.7,125,175.06,251.8,53.1,1,18,162.88,79.27,-37.94,-26.84,-16.2,8.33,35.43,39.06,43.23,3.76,687.48,1095.5,1481.61,414.77,76.47,191.75,900.15,169.92,49,60.5,66,3.98,52,61.06,67,5.32,18.59,22.92,28.96,5.29
"Flacap","Flavoparmelia_caperata",0.24,3.46,9.55,17.67,7.45,16.7,21.34,26.97,5.12,-13.98,-2.6,12.12,11.2,7.92,24.8,33.2,7.74,448.75,985,1430.86,407.82,40.9,492,622,118.12,13.21,20,54.17,5.03,31.81,45.48,489.62,10.27,115,157.57,323,58,0.43,61,297.5,129.75,-40.99,-29.19,-6.81,11.53,33.8,38.09,42,3.71,602.12,862.41,1474.54,446.57,55.45,171.62,915.44,159.68,52,61,69,4.99,47.75,62,71.68,6.32,15.96,21.09,28.38,5.69
"Fpudar","Flavopunctelia_darrowi",0,8.14,13.61,19.16,4.7,18.17,21.7,25.96,2.47,-1.73,5.96,13.58,5.95,7.59,16.92,23.29,6.57,424.35,646.78,939.65,276.17,223.8,353.75,716,190.15,23.74,35.81,59.26,15.15,32.22,60.46,107.68,43.59,130.05,192.5,315.25,95.25,0,4.25,56.3,17.25,-34.45,-21.69,-7.79,12.22,34.94,38.45,41.8,2.64,978.55,1401.9,1735.85,365.75,496.35,754.3,1119.47,327.67,45,53,59.92,6.29,40.17,54.97,65.97,13.25,17.34,21.23,26.17,3.07
"Fpufla","Flavopunctelia_flaventior",0.04,2.8,8.08,17.77,8.62,15.27,20.54,25.7,3.24,-14.9,-4.02,13.03,17.04,4.57,23.33,34.43,12.96,361.87,705.11,1203.45,338.05,26.33,398.5,766.05,211.38,15.3,24.57,67.83,19.19,22.1,50.12,828.19,34.7,106,148,340,97.75,0,69.25,205.66,110.88,-42.77,-32.08,-4.29,20.21,31.96,37.9,43.33,3.49,603.65,842,1651.97,583.12,88.3,331.5,1149.7,619.62,47.46,58,68,7.57,34.61,58,70,11,14.26,20.2,25.61,3.65
"Fpupra","Flavopunctelia_praesignis",0,8.35,14.7,21,4.32,13.24,20.7,27.37,5.59,-0.66,8.25,15.85,7.99,3.12,14.38,20.28,11.15,316.75,609.37,1309.5,340.75,177.25,377.25,999.5,321.42,17.25,39.8,83.1,25.66,13.31,54.23,148.57,50.61,135.79,228.5,352.31,127.25,0,2,62.75,6.69,-31.85,-17.46,-0.28,12.49,27.29,37.75,44,5.06,1016.62,1469.5,1806.75,298.86,414.4,842.17,1336,397.25,46.5,54,62,7.19,34.25,55.83,67,13.38,12.17,20.19,28.41,6.04
"Fpusor","Flavopunctelia_soredica",0.07,3.5,8.59,17.93,6.95,16.23,21.1,26.12,3.6,-14.14,-3.2,12.58,13.88,7.4,23.3,34.1,10.95,306.8,573.17,1162.2,317.25,44.6,327,562,214,16.52,31.47,78.36,25.67,36.44,62.27,586.08,49.93,103.2,146,331.6,64,0,47,190.6,90.25,-41.8,-33.1,-6.68,15.55,33.62,38.5,43.29,3.9,645.4,931,1654.8,523,96.2,491,1213.4,626,47,55.4,66,8,30.6,55,67,14.5,15.01,20.64,26.59,3.93
"Fuslac","Fuscopannaria_laceratula",0.01,4.73,7.03,8.27,1.57,12.36,13.91,14.75,1.1,-1.73,1.65,3.79,2.63,10.59,12.03,14.4,1.67,1814.94,2954.94,4424.5,1122.89,404.1,788.54,1473,443.09,3.76,5.94,10.2,2.68,8.43,16.94,35.56,11.05,136.3,181.83,233.54,36.21,81.62,252.58,790.12,244.58,-26.35,-18.95,-13.01,5.09,28.7,30.75,31.73,1.72,367.62,438.83,521.85,48.5,0,0,25.4,0.38,75.83,79.5,82.66,3.69,74.43,78.92,82,2.92,11.73,13.4,14.35,1.33
"Fusram","Fuscopannaria_ramulina",0,-0.18,2.7,5.58,3.2,13.41,13.45,13.49,0.05,-11.44,-6.4,-1.36,5.6,14.86,19.85,24.84,5.55,1228.35,1600.5,1972.65,413.5,591.15,637.5,683.85,51.5,7.91,7.95,8,0.05,19.66,21.15,22.64,1.65,82.25,120.5,158.75,42.5,317.85,460.5,603.15,158.5,-43.41,-34.45,-25.5,9.95,28.18,28.85,29.53,0.75,343,370,397,30,0.7,7,13.3,7,63.75,70.5,77.25,7.5,64.65,70.5,76.35,6.5,12.49,12.69,12.89,0.22
"Hetalb","Heterodermia_albicans",0.01,12.5,18.4,22.95,3.7,20.8,27.3,29.16,1.53,0.95,8.82,16.22,4.97,9.43,18.8,24,3.75,492.75,1281.17,1588,266.15,282.25,552.5,826.75,169.88,18.2,21.61,55.97,4.79,31.98,47.6,93.38,13.17,174.5,253.25,331,68.68,0,1,15,2.25,-26.55,-16.6,-3.18,7.06,36.65,40.46,42.75,1.82,1125.88,1401.5,1679.75,201.33,99.75,305.83,1148.5,180,51,61.79,69.62,3,52.75,65.12,74.08,4.18,20.28,28.94,32.29,2.88
"Hetapp","Heterodermia_appalachensis",0,10.25,14.43,20.49,4.55,19.62,21.25,27.29,3.07,-0.82,6.08,16.45,5.98,8.08,16.88,21.7,7.73,458.54,883,1544.35,508.25,320.95,538.5,847.6,166.62,15.26,31.6,57.71,15.14,26.34,39.53,74.57,16.65,157.85,200.5,337.2,59.88,0,3,41.35,13.38,-28.52,-20.35,0.36,7.18,35.23,38.35,41.96,2.22,955.05,1366.81,1754.7,349,84.35,714,1133.4,659.88,46.65,57.75,61.31,10.75,52.25,57.5,66,7.12,19.11,20.85,28.98,3.41
"Hetbar","Heterodermia_barbifera",0,10.8,19.6,23.08,5.12,19.75,28.75,29.74,7.47,1.92,9.7,15.35,2.42,11.7,18.45,19.19,2.43,688.9,917.5,1387.3,245.5,346.75,442.5,643.6,149.25,18.28,29.43,46.94,10.12,30.68,61.72,81.77,16.45,168.4,274.5,313.75,84,0,0,28.6,1.75,-25.35,-14.75,-3.9,5.96,34.73,42.77,43.94,4.27,1087.55,1498,1759.8,63.5,210.75,561,1044.65,321,51.95,60.5,62.37,3.5,54.9,63,65.37,3,19.21,31.05,33.19,10.45
"Hetcas","Heterodermia_casarettiana",0,8.18,18.9,22.95,5.65,18.91,27.3,28.05,3.15,-2.26,8.9,18.45,7.71,10.05,18.7,23.65,3.45,680.5,1339,1593.5,241.38,391,612,864,164,15.1,20.5,29.95,4.49,30.7,42.6,55.5,12.32,137.88,263,347.5,93.5,0,1,73.38,7.5,-30.93,-16.2,-3.15,10.05,34.85,39.42,41.3,2.2,885.5,1420,1593.5,295,77.5,279,625,153.25,55.75,62,66.5,3.17,53.25,66,71,5.5,18.34,29.09,30.54,5.03
"Hetech","Heterodermia_echinata",0,13.6,18.6,21.13,3.53,24.57,27.4,28.53,1.4,1.59,9,13.89,5.35,14.8,18.8,23.33,3.88,816.9,1303,1589,289,411.85,558,766.5,128.5,17.9,21,34.81,3.8,36.1,47.4,66.65,9.62,179.82,254,310.3,70.38,0,1,13.2,3.75,-26.11,-16.6,-9.84,7.1,38.76,40.8,43.33,1.31,1116.2,1419.5,1547.9,214.5,145.15,281.2,676.4,133,57.96,61,65.55,2,58.6,65,69.6,4,24.71,29.12,31.72,2.48
"Hetgal","Heterodermia_galactophylla",0,-0.54,11.45,20.93,13.9,13.43,21.23,27.73,7.9,-17.55,-0.2,12.83,18.95,14.76,23.1,35.05,12.22,637.35,892.17,1599.33,595.75,351.45,495.5,841.35,188.92,11.54,18.5,37.64,2.79,22.1,39.57,66.68,10.82,98,176.5,303.9,127.25,0,28.5,394.75,165.44,-44.25,-26.35,-10.74,22.23,29.64,37.9,42.48,3.53,379.75,1019,1581.58,695.92,50.45,131.75,743.95,159.25,55,60.5,69,4,53.05,62.88,69.95,4.62,12.53,20.82,30.05,9.92
"Hetgra","Heterodermia_granulifera",0,8.01,14.85,21.94,4.68,18.23,24.75,28.12,5.37,-4.64,4.65,16.47,8.83,5.84,20.55,25.43,8.46,421.6,1175.5,1553.6,549,244.05,530,808.83,123.25,14.75,20.3,72.65,14.26,25.17,46.9,108.65,15.85,142.2,199.5,342.25,90,0,4.5,142.95,15.17,-31.09,-22.35,0.8,11.55,33.44,39.55,43.62,3.82,840,1256,1786.83,401.94,53,269.5,1288,666.92,48.55,60,66,5.5,52.55,61,69.9,7.05,17.74,24.85,30.05,6.55
"Hethyp","Heterodermia_hypoleuca",0,4.4,12.33,19.15,6.62,17.69,22,26.7,4.6,-11.21,0.85,13.91,9.81,7,23.02,31.7,7.85,490.8,1055.5,1492.22,403.25,287.6,514.5,794.7,89.62,13.15,20.1,49.97,4.39,29.86,43.48,68.06,10.21,123.9,173.83,330.35,54.46,0,18.25,243.2,86.5,-38.61,-26.6,-4.6,10,33.89,38.4,41.7,3.82,658.75,1098,1627.8,432.5,60.4,186,991.8,207.62,48.95,60,65.52,5.08,50.48,60,67.05,6.69,16.98,21.77,27.7,5.21
"Hetjap","Heterodermia_japonica",0,2.54,12.8,21.05,8.37,11.6,19.9,27.73,7.18,-9.33,6.3,13.56,10.18,3.2,16.9,24.52,7.8,332.5,783.5,1728,680.5,152.1,440,935.3,376.67,12.34,26,74.4,14.05,13.98,44.4,158.88,27.02,75.5,193,346.45,134.17,0,8,274.1,47,-39.59,-19.8,-4.52,15.55,26.97,36.4,42.07,5.3,522.1,1341,1649.27,450.5,80.1,457,1230.03,467.5,46.93,58,66.45,7,34.4,59.33,69.95,10.12,10.4,19.54,29.88,8.17
"Hetleu","Heterodermia_leucomela",0,8.71,14.45,21.99,5.6,14.64,19.45,28.66,6.2,-1.22,9.5,17.02,7.39,3.46,10.45,21.73,12.39,301.15,1110,1927.28,712.38,15.53,515,997.15,458.25,11.44,24.05,93.66,25.69,16.55,40.4,1291.38,57.01,147.85,285.75,360.3,132.75,0,2,81.3,15.56,-29.45,-11.9,0.08,15.55,29.09,36.4,43.85,4.9,699.15,1273.5,1759.92,558.31,22.75,563.25,1241.26,574.5,47.5,62,73.65,6.12,53,63,76,11.17,14.01,18.94,31.09,6.75
"Hetobs","Heterodermia_obscurata",0.04,6.77,15.69,21.48,6,18.39,26.2,28.01,2.97,-4.9,4.98,14.6,8.4,12.61,20.02,25.73,5.6,672.4,1254.5,1595.77,217,388.7,550.67,793.3,124,13.8,20.4,29.73,4.11,32.51,45.9,57.2,10.55,135,208,320.86,91.62,0,4,152.57,12.17,-33.26,-21.4,-7.69,10.82,34.75,40.1,41.85,2.04,702.3,1253.5,1540,295,77.9,248.4,463.7,142.75,57,61,67.3,3,54,64,72,4.12,17.95,27.28,30.56,4.59
"Hetrug","Heterodermia_rugulosa",0,7.92,14.32,21.4,5.44,17.18,22.2,28.2,4.3,-0.88,5.88,14.74,6.3,9.76,17,19.16,3.11,330.07,541,804.4,184,224.2,320,470.13,80.5,25.29,44.35,91.25,20.93,37.05,67.4,128.12,21.2,120.8,217,343.2,89,0,2,68.4,13,-33.26,-20,-1.6,11.6,33.92,38.08,43.72,4.27,984.13,1389,1781.5,381,396,883,1344.2,458,46.2,54,60,7.83,36,55,63,14,15.91,21.91,29.18,5.05
"Hetspe","Heterodermia_speciosa",0.02,2.07,9.47,19.7,8.72,15.3,21.8,27.6,6.25,-14.63,-2.9,10.54,12.69,15.52,25,33.1,8.01,536.05,1066,1527.32,408.5,306.85,497.33,684.5,97.75,12.41,19.46,36.18,4.5,32.77,43.7,65.72,8.83,104,156.67,282.9,60.6,0,69.5,373,151.84,-42.34,-29.05,-12.81,12.53,33.35,38.2,41.84,3.9,553.55,876,1497.15,505.25,43.3,159,732.15,132.75,54,60.78,68,5,49,62,69,6,14.32,21.62,29.57,6.94
"Hetsqu","Heterodermia_squamulosa",0,5.83,11.5,19.58,4.32,17.13,20.96,27.44,3.75,-8.11,1.3,12.67,5.58,3.26,21,28.46,4.73,659.3,1246,1823.7,301.25,377.8,571,801.7,155.1,12.29,16.1,33.27,7.65,20.62,37.4,54.65,11.53,129.12,167,307.1,36.62,0,26,310.7,75.17,-34.63,-26.7,-12.4,5.88,29.57,36.2,40.51,2.97,652.5,1036,1578.6,370,9.4,117,743.5,240,56.6,61,65,4.55,53,60.14,66.7,6.29,16.49,20.61,28.92,4.26
"Hettro","Heterodermia_tropica",0,10.3,15.3,21.8,5.7,17.6,22.3,28.2,6.1,1.9,8.8,16.9,6.6,8.7,13.3,17.6,5.4,355,696,824,231.5,225,423,604.67,200,28.1,35.8,74.3,24.75,32.2,53.2,110.5,35.55,146,217.5,345,108.33,0,1,26,4.5,-29.1,-18.2,3.5,12.6,34.9,38.67,43.6,4.4,1228,1563,1772,194.5,507,906,1307,395,46.5,51,59.67,7,49,58.33,68,7,16.98,22.24,29.08,6.61
"Hphadg","Hyperphyscia_adglutinata",0.01,5.88,11.68,21.07,6.24,19.17,24.1,28.52,3.6,-10.6,-2.13,13.15,9.95,11.14,26.9,32.62,6.67,360.75,831.25,1270.25,372.5,33.75,485,625,149.25,19.08,23.85,75,10.22,40.1,50.1,528.19,17.61,130.25,174,333.5,47.25,0,25.75,122.5,64.62,-39.61,-29.02,-3.93,11.05,37,40.58,44.42,2.5,723,985.33,1652.75,382.81,99.75,238,1247,295.25,51,60,65.5,5,46,62,68.35,6,18.73,24.19,30.46,4.73
"Hphsyn","Hyperphyscia_syncolla",0,5.75,12.87,20.7,7.17,20.69,25.2,29.1,4.03,-11.09,-0.55,13.13,10.9,14.8,26.1,33,7.85,476.4,872.5,1436.4,437.75,314.57,498,629.53,146.75,19.04,23.77,54.82,10,40.34,49.84,84,15.11,131.82,180.5,311.9,54.33,0,14.25,89.3,48.5,-38.85,-27.87,-8.64,12.9,38.4,40.9,44.56,2.51,737.3,1098,1652.3,412.25,86.94,249,1122.3,233,52,60,65,4.5,55.23,63,69,4.59,20.36,25.42,32.06,5.24
"Htrafr","Hypotrachyna_afrorevoluta",0,5.88,9.25,14.83,5.58,17.24,19.23,22.93,1.77,-6.9,-1.7,10.17,9.04,6.91,20.7,25.7,5.88,728.23,1323,1949.65,106.5,37.12,492,819.52,134.75,11.54,13.65,33.24,3.05,26.74,38.05,494.15,8.84,132.62,154,344.34,34.4,1,80.5,338.65,210.05,-32.76,-28.55,-4.58,7.14,32.23,34.75,38.52,1.68,599.2,840,1170.18,321.12,0.85,74,594.17,87.75,60.68,64.5,71.27,4.75,51.85,64.5,71.62,10.55,16.89,18.69,23.01,1.84
"Htrcro","Hypotrachyna_croceopustulata",0,8.18,14.6,19.39,7.57,16.84,20.4,27.2,5.57,-1.44,3.55,16.86,11.33,3.15,18.64,21.48,8.25,941.9,1385,1955.46,427.75,518.4,660.5,1325.7,275.5,9.92,16.5,26.77,6.3,14.42,30.2,47.14,18.05,142.65,199.5,353.85,135.5,0.1,8,103.95,41.25,-28.84,-22.3,0.35,14.5,30.24,34.9,40.39,5.8,829.85,1170.5,1629.9,491.5,0,135,743.1,421.5,58.1,62,65.9,3.75,54.2,61,69.9,6.79,16.39,19.96,28.92,6.11
"Htrimb","Hypotrachyna_imbricatula",0,9.18,15.26,21.84,5.5,14.84,20,26.91,4.52,-0.58,11.97,18.42,12.07,2.54,7.5,22.6,16.3,811.1,1264,1897.6,513.45,492,752,1405.2,395,12.37,18.6,30.16,10.99,12.25,26.7,53.7,18.25,147.9,293,350.55,149.25,0,2,66.25,16.5,-28.35,-14.9,-0.86,15.03,27.02,34.8,40.48,6.77,950.7,1454.5,1876.6,555.5,25.9,501.33,1002.9,695.38,54.6,60,65.4,2.7,52.6,62,76.7,8,14.06,19.74,28.74,4.69
"Htrlae","Hypotrachyna_laevigata",0,6.63,13.2,20.3,5.85,14.57,20.4,26.72,4.48,-6.37,5,15.73,10.23,2.74,16.9,26.92,7.55,381.8,818,1886,762.33,260.1,510,1390.3,391.82,13.39,24.37,57.21,16.15,12.25,43.27,82.99,24.78,123.95,177,329.08,110.25,0,6,134.27,29.5,-35.53,-23.9,-7.18,14.8,27.34,36.9,41.01,4.47,779.05,1309,1683.1,495.5,121.5,459,1093.4,353.27,45.7,57,64.2,9,42.81,58.33,69.45,8.5,13.69,20.14,28.16,4.95
"Htrliv","Hypotrachyna_livida",0.04,10.6,16.8,21.08,5.28,21.37,26.62,28.2,2.34,-0.94,6.25,13,7.47,14.5,20.1,25,5,1070.2,1277,1609.8,245.25,470,551,792.27,124,15.8,20.5,24.58,3.07,33.97,47,56.84,10.2,160.2,223,309.4,86,0,2,45.6,9.5,-27.84,-19.82,-9.9,9.05,36.62,40.3,41.8,1.7,877.8,1285,1530.07,262.73,82.2,248,397.13,131.5,57.9,61.5,68,3,58,65,72,4,21.12,28.03,30.87,4.14
"Htross","Hypotrachyna_osseoalba",0,13.62,19.05,21.75,2.8,21.33,27.22,28,1.82,2.39,9.88,16.82,4.34,4.54,17.73,21.91,3.35,1106.4,1295.5,1683.1,286.5,493.95,660.75,958.85,228,17.36,21.83,25.3,4.32,21.71,41.65,53.8,13.78,183.9,271,345.05,71.38,0,1,10.07,2,-24.31,-15.53,-2.7,6.66,36.08,39.88,41.11,1.23,1127.4,1427.75,1748.9,230.12,74.9,278.17,808.38,187.75,58,61.17,69.53,3,61,66,74,3.62,21.04,28.84,30.54,2.76
"Htrpse","Hypotrachyna_pseudosinuosa",0,9.6,15.1,18.1,3.47,15.01,17.2,21.81,3.9,0.73,13.2,15.09,6.08,2.42,3.6,18.51,9.4,961.25,1793,1952.75,657.25,529.7,918,1336.6,476,12.06,15.3,22.91,7.55,11.55,17.8,38.2,11.17,153.95,316,347.2,87.75,1,2,64.1,7.5,-28.48,-12.6,-2.69,9.6,27.12,30.1,37.31,6.75,1025.6,1488,1607.5,252,98.1,538,678.3,161,56.9,61,63.4,2.75,33.7,66,74.2,8,14.26,16.36,21.76,4.87
"Htrpul","Hypotrachyna_pulvinata",0,5.91,14.1,22.19,5.95,12.09,19.1,28.34,6.06,-2.73,9,17.48,8.92,2.49,10.9,19.94,13.32,398.76,817,1765.75,474.25,197.5,539,1266.3,518.65,14.34,28.5,60.37,15,11.92,37.85,124.12,34.66,109.12,236,353,153.67,0,3.5,194.61,13.5,-34.93,-16.5,1.25,13.22,26.62,36.3,41.97,6,841.46,1454.5,1760.15,289.33,311.7,676,1130.7,383.58,47,56.4,65.9,6,40.01,58,68.07,10.31,10.7,18.61,29.42,6.71
"Htrpus","Hypotrachyna_pustulifera",0,13,16.25,19.8,3.22,21.4,26.2,27.7,2.22,0.57,5.89,12.3,5.72,14.3,20.02,24.42,3.45,790.5,1218.5,1581.5,240.62,443,536.5,788.75,83.5,16.45,20.6,37.25,4.35,31.85,48.42,61.13,10.85,175.92,218,305.5,64.5,0,2.5,16.25,7,-26.91,-20.4,-11.17,7.19,35.1,40.43,41.92,1.64,1153.25,1287.31,1575.5,198,140.25,282.75,784.59,159.5,56.83,60,64,3.06,55.75,63.88,68,4.81,21.14,27.24,29.79,3.68
"Htrrev","Hypotrachyna_revoluta",0,3.51,9.63,14.3,6.46,14.14,18.3,22.65,3.51,-12.87,0.6,11.18,12.12,3.7,19.6,31.42,12.95,502.53,1042,2076.2,585.12,42.2,460,807.29,176,9.74,18.1,46.93,9.98,19.72,40.6,487.82,13.4,111.1,158,344.4,72.58,2.1,46.33,298,138.17,-40.58,-27.68,-5,14.86,28.62,35,38.39,3.18,566.05,860,1404.5,413.88,5.3,137.4,727.2,340.83,50.1,60,72.9,8.25,41.05,61,74.9,11,13.11,17.88,22.6,3.59
